_id,Description,Sample Description,Sample No.,Date Sample Collected,Comments,Sample Matrix Code,Sample Matrix,Sample Type (comp./grab),Sample Collected by,Time Sample Collected,Temperature,Dissolved Oxygen,pH,E.Cond.,Secchi Depth,Salinity (Field),E. coli,Thermotolerant coliforms,Intestinal enterococci,Chlorophyll a,Chloro-a Phenophytin ratio,BOD5,Suspended Solids,Organic Carbon - Total,Ammonia as N,Nitrate + Nitrite as N,Phosphate as P,Total Nitrogen as N,Total Phosphorus as P,TKN as N (TN-NOX)
1,"","",,,"","","","","","",TEMPERATURE,DO,PH,E.Cond.,"",Salinity (Field),ECOLI,FAECAL_COLI_MF,ENTEROCOCCI,CHLOROPHYLL_A,"",BOD,SUSPENDED_SOLI,TOC,AMMONIA_N,NOX,ORTHO_P,TN_PERSULPHATE,TP_PERSULPHATE,TKN
2,Units,"",,,"","","","","","",oC,mg/L,pH Units,us/cm,m,ppt,cfu/100mL,cfu/100mL,cfu/100mL,ug/L,ratio,mg/L,mg/L,mg/L C,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
23,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2014-03-05T00:00:00,"","","",Grab,Sampler 1,07:45:00,25.7,5.7,7.7,50500,"",31.1,"","","","","",3,"",16,0.012,<0.005,"",0.44,"",0.44
24,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2014-03-05T00:00:00,"","","",Grab,Sampler 1,08:00:00,26,5.3,7.6,48300,0.7,31.5,7 EST,8 EST,3 EST,7.5,1.1,3,14,11,0.006,<0.005,0.069,0.48,0.13,0.48
25,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2014-03-05T00:00:00,"","","",Grab,Sampler 1,08:05:00,26.3,4.7,7.6,48900,"",31.9,"","","","","",3,"",10,0.011,0.005,"",0.47,"",0.46
26,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2014-03-05T00:00:00,"","","",Grab,Sampler 1,08:20:00,26.3,4.8,7.6,45400,0.75,29.4,5 EST,10 EST,3 EST,7.5,1.1,3,11,16,0.005,0.008,0.072,0.52,0.13,0.51
27,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2014-03-05T00:00:00,"","","",Grab,Sampler 1,08:25:00,26.3,4.9,7.6,48400,"",31.6,"","","","","",3,"",9,0.026,0.005,"",0.45,"",0.45
28,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2014-03-05T00:00:00,"","","",Grab,Sampler 1,08:40:00,25.9,4.3,7.5,38800,0.7,24.6,8 EST,9 EST,5 EST,6.4,1.1,4,6,15,0.011,0.025,0.13,0.57,0.19,0.55
29,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2014-03-05T00:00:00,"","","",Grab,Sampler 1,08:45:00,26.5,4.3,7.5,44700,"",28.9,"","","","","",3,"",13,0.019,0.01,"",0.48,"",0.47
30,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2014-03-05T00:00:00,"","","",Grab,Sampler 1,09:00:00,26.4,4.9,7.5,38800,0.7,24.7,6 EST,13 EST,3 EST,9.6,1.1,3,11,15,0.019,0.03,0.16,0.63,0.22,0.6
31,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2014-03-05T00:00:00,"","","",Grab,Sampler 1,09:05:00,26.5,4.4,7.5,45600,"",29.5,"","","","","",3,"",13,0.027,0.01,"",0.47,"",0.46
32,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2014-03-05T00:00:00,"","","",Grab,Sampler 1,09:25:00,26.6,4.8,7.5,43300,0.7,27.9,10 EST,12 EST,1 EST,7.5,1.1,4,16,12,0.013,0.013,0.07,0.51,0.13,0.5
33,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2014-03-05T00:00:00,"","","",Grab,Sampler 1,09:30:00,26.6,4.4,7.5,44100,"",28.4,"","","","","",3,"",9,0.023,0.012,"",0.5,"",0.49
34,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2014-03-05T00:00:00,"","","",Grab,Sampler 1,09:45:00,26.5,4.1,7.4,42400,0.7,27.3,9 EST,17,5 EST,9.6,1.1,3,21,13,0.018,0.012,0.056,0.49,0.12,0.47
35,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2014-03-05T00:00:00,"","","",Grab,Sampler 1,09:50:00,26.5,4,7.4,42600,"",27.4,"","","","","",4,"",11,0.021,0.013,"",0.49,"",0.48
36,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2014-03-05T00:00:00,"","","",Grab,Sampler 1,10:10:00,26.3,4.8,7.4,40900,0.7,26.1,14,22,2 EST,15,1.2,3,15,12,<0.005,<0.005,0.038,0.48,0.11,0.48
37,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2014-03-05T00:00:00,"","","",Grab,Sampler 1,10:15:00,26.3,3.9,7.4,41200,"",26.3,"","","","","",3,"",11,<0.005,<0.005,"",0.46,"",0.46
38,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2014-03-05T00:00:00,"","","",Grab,Sampler 1,10:20:00,28.7,7.3,7.5,878,"",0.4,<1,2 EST,1 EST,4.3,1,<3,2,16,0.015,0.073,0.52,0.94,0.59,0.86
39,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2014-04-10T00:00:00,"","","",Grab,Sampler 2,08:35:00,24.8,6.1,7.8,33700,1.2,21.1,6,23,9 EST,2.1,1,3,7,13,0.034,0.012,0.064,0.45,0.1,0.44
40,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2014-04-10T00:00:00,"","","",Grab,Sampler 2,08:44:00,25.5,5.7,8,37600,"",23.8,"","","","","",<3,"",12,0.035,<0.005,"",0.55,"",0.55
41,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2014-04-10T00:00:00,"","","",Grab,Sampler 2,08:58:00,25.5,5.2,7.7,34400,1.2,21.6,32,50,2 EST,2.1,1,4,10,11,0.049,0.021,0.094,0.49,0.14,0.47
