_id,Description,Sample Description,Sample No.,Date Sample Collected,Comments,Sample Matrix Code,Sample Matrix,Sample Type (comp./grab),Sample Collected by,Time Sample Collected,Temperature,Dissolved Oxygen,pH,E.Cond.,Secchi Depth,Salinity (Field),E. coli,Thermotolerant coliforms,Intestinal enterococci,Chlorophyll a,Chloro-a Phenophytin ratio,BOD5,Suspended Solids,Organic Carbon - Total,Ammonia as N,Nitrate + Nitrite as N,Phosphate as P,Total Nitrogen as N,Total Phosphorus as P,TKN as N (TN-NOX)
1,"","",,,"","","","","","",TEMPERATURE,DO,PH,E.Cond.,"",Salinity (Field),ECOLI,FAECAL_COLI_MF,ENTEROCOCCI,CHLOROPHYLL_A,"",BOD,SUSPENDED_SOLI,TOC,AMMONIA_N,NOX,ORTHO_P,TN_PERSULPHATE,TP_PERSULPHATE,TKN
2,Units,"",,,"","","","","","",oC,mg/L,pH Units,us/cm,m,ppt,cfu/100mL,cfu/100mL,cfu/100mL,ug/L,ratio,mg/L,mg/L,mg/L C,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
250,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2015-05-06T00:00:00,"","","",Grab,Sampler 2,10:15:00,22.4,5,7,5980,0.65,3.2,170,280,110 EST,3.7,1.1,<3,6,6,0.42,0.22,0.24,1.02,0.3,0.8
251,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2015-05-06T00:00:00,"","","",Grab,Sampler 2,10:25:00,22.3,4.8,7,6230,0,3.4,"","","","","",<3,"",6,0.42,0.22,"",1.02,"",0.8
252,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2015-05-06T00:00:00,"","","",Grab,Sampler 2,10:40:00,22.8,7.3,6.9,5030,0.6,2.7,150,280,140 EST,4.8,1.1,<3,4,6,0.29,0.24,0.13,0.87,0.19,0.63
253,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2015-05-06T00:00:00,"","","",Grab,Sampler 2,10:50:00,22.4,8,6.9,5040,0,2.7,"","","","","",<3,"",5,0.3,0.24,"",0.89,"",0.65
254,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2015-05-06T00:00:00,"","","",Grab,Sampler 2,11:10:00,22.8,3.9,6.8,4920,0.6,2.6,170,310,190,3.7,1.1,<3,2,5,0.1,0.26,0.027,0.65,0.06,0.4
255,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2015-05-06T00:00:00,"","","",Grab,Sampler 2,11:15:00,22.3,4.2,6.8,5050,0,2.7,"","","","","",<3,"",4,0.11,0.25,"",0.65,"",0.39
256,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2015-05-06T00:00:00,"","","",Grab,Sampler 2,12:45:00,26.8,6.5,6.9,637,"",0.3,1 EST,70,<1,1.3,1,7,4,8,0.12,0.044,0.25,0.81,0.39,0.76
257,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2015-06-19T00:00:00,"","","",Grab,Sampler 3,07:45:00,18.8,6.1,7.3,35200,1.35,22.1,39,120,16,2,1,<3,20,3,0.11,0.054,0.03,0.43,0.05,0.38
258,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2015-06-19T00:00:00,"","","",Grab,Sampler 3,07:55:00,19,5.5,7.4,36600,"",22.3,"","","","","",<3,"",3,0.11,0.05,"",0.41,"",0.36
259,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2015-06-19T00:00:00,"","","",Grab,Sampler 3,08:20:00,18.8,6.2,7.3,36100,1.3,22.7,38,130,21,2,1,<3,15,3,0.12,0.061,0.036,0.46,0.06,0.4
260,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2015-06-19T00:00:00,"","","",Grab,Sampler 3,08:30:00,19,4.8,7.4,37000,"",23.3,"","","","","",<3,"",3,0.1,0.05,"",0.42,"",0.37
261,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2015-06-19T00:00:00,"","","",Grab,Sampler 3,08:45:00,19.2,4.4,7.3,32300,1.3,20.1,32,77,30,1.3,1,<3,2,3,0.11,0.071,0.041,0.47,0.06,0.4
262,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2015-06-19T00:00:00,"","","",Grab,Sampler 3,08:50:00,19.3,4.3,7.3,33900,"",21.2,"","","","","",<3,"",3,0.12,0.059,"",0.45,"",0.39
263,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2015-06-19T00:00:00,"","","",Grab,Sampler 3,09:10:00,19.1,6.4,7.2,29400,1.25,18.1,35,86,15,1.3,1,<3,2,4,0.11,0.074,0.039,0.47,0.06,0.39
264,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2015-06-19T00:00:00,"","","",Grab,Sampler 3,09:15:00,19.4,5.7,7.3,35100,"",22,"","","","","",<3,"",3,0.12,0.053,"",0.44,"",0.38
265,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2015-06-19T00:00:00,"","","",Grab,Sampler 3,09:35:00,19.6,4.5,7.2,28500,1.3,17.5,19,110,17,<1,1,<3,2,4,0.11,0.071,0.062,0.49,0.09,0.42
266,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2015-06-19T00:00:00,"","","",Grab,Sampler 3,09:45:00,19.5,4.1,7.2,31800,"",19.7,"","","","","",<3,"",3,0.12,0.056,"",0.43,"",0.37
267,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2015-06-19T00:00:00,"","","",Grab,Sampler 3,11:15:00,24.4,7.1,7.2,765,"",0.4,8 EST,71,2 EST,<1,1,<3,<2,7,0.032,0.012,0.55,0.87,0.64,0.86
268,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2015-07-15T00:00:00,"","","",Grab,Sampler 6,08:35:00,14.9,6.9,7.8,42500,2,27,5 EST,23,2 EST,2.1,1,<3,4,"",0.029,0.033,0.026,0.29,0.04,0.25
269,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2015-07-15T00:00:00,"","","",Grab,Sampler 6,08:40:00,14.9,6.8,7.8,42600,"",27.1,"","","","","",<3,"","",0.028,0.033,"",0.28,"",0.25
270,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2015-07-15T00:00:00,"","","",Grab,Sampler 6,09:10:00,15.1,6.2,7.8,43500,2,27.7,5 EST,39,5 EST,3.2,1,<3,3,"",0.027,0.035,0.03,0.3,0.04,0.26
271,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2015-07-15T00:00:00,"","","",Grab,Sampler 6,09:15:00,15.1,6.6,7.8,42800,"",27.2,"","","","","",<3,"","",0.027,0.034,"",0.28,"",0.25
272,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2015-07-15T00:00:00,"","","",Grab,Sampler 6,09:30:00,15.1,6.8,7.6,37500,2,23.5,6 EST,32,5 EST,3.2,1,<3,2,"",0.027,0.042,0.041,0.35,0.06,0.31
273,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2015-07-15T00:00:00,"","","",Grab,Sampler 6,09:35:00,15.2,6.4,7.7,40200,"",25.4,"","","","","",<3,"","",0.028,0.036,"",0.3,"",0.26
274,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2015-07-15T00:00:00,"","","",Grab,Sampler 6,09:55:00,15.8,6.8,7.6,35600,2,22.2,9 EST,41,4 EST,3.2,1,<3,2,"",0.033,0.043,0.067,0.37,0.08,0.32
275,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2015-07-15T00:00:00,"","","",Grab,Sampler 6,10:00:00,15.5,6.6,7.7,40100,"",25.4,"","","","","",<3,"","",0.032,0.037,"",0.34,"",0.3
276,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2015-07-15T00:00:00,"","","",Grab,Sampler 6,10:16:00,15.9,6.7,7.6,35600,2,22.2,9 EST,27,3 EST,3.2,1,<3,2,"",0.034,0.044,0.061,0.37,0.08,0.33
277,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2015-07-15T00:00:00,"","","",Grab,Sampler 6,10:20:00,15.9,6.6,7.6,39000,"",24.6,"","","","","",<3,"","",0.034,0.04,"",0.34,"",0.3
278,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2015-07-15T00:00:00,"","","",Grab,Sampler 6,10:30:00,16.1,6.5,7.5,34900,2,21.7,7 EST,27,7 EST,2.1,1,<3,2,"",0.042,0.048,0.052,0.36,0.07,0.31
279,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2015-07-15T00:00:00,"","","",Grab,Sampler 6,10:35:00,16.1,6.4,7.5,36700,"",23,"","","","","",<3,"","",0.039,0.044,"",0.35,"",0.31
280,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2015-07-15T00:00:00,"","","",Grab,Sampler 6,10:47:00,16,6.1,7.4,28500,2,17.4,21,43,12,1.1,1,<3,<2,"",0.04,0.064,0.028,0.33,0.04,0.27
281,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2015-07-15T00:00:00,"","","",Grab,Sampler 6,10:52:00,16.1,5,7.4,29800,"",18.3,"","","","","",<3,"","",0.041,0.06,"",0.35,"",0.29
282,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2015-07-15T00:00:00,"","","",Grab,Sampler 6,11:05:00,15.9,6.5,7.3,26300,2,15.9,29,77,18,1.1,1,<3,2,"",0.033,0.067,0.024,0.33,0.03,0.27
283,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2015-07-15T00:00:00,"","","",Grab,Sampler 6,11:10:00,16.1,4.9,7.3,30500,"",18.8,"","","","","",<3,"","",0.043,0.057,"",0.34,"",0.29
284,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2015-07-15T00:00:00,"","","",Grab,Sampler 6,12:30:00,22.1,7.6,7.3,772,"",0.4,320,460,89,<1,1,<3,<2,"",0.044,0.02,1.1,1.08,1.32,1.06
285,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2015-08-19T00:00:00,"","","",Grab,Sampler 6,08:40:00,17.6,6.9,7.5,40600,2,25.8,3 EST,14,4 EST,1.1,1,<3,2,3,0.027,0.03,0.035,0.32,0.06,0.29
286,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2015-08-19T00:00:00,"","","",Grab,Sampler 6,08:47:00,17.7,6.8,7.6,42300,"",27,"","","","","",<3,"",3,0.028,0.024,"",0.29,"",0.26
287,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2015-08-19T00:00:00,"","","",Grab,Sampler 6,09:10:00,17.7,6.1,7.5,40800,2,26,3 EST,26,5 EST,1.1,1,<3,3,3,0.029,0.032,0.037,0.34,0.06,0.31
288,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2015-08-19T00:00:00,"","","",Grab,Sampler 6,09:20:00,17.9,6.3,7.6,43500,"",27.8,"","","","","",<3,"",3,0.025,0.026,"",0.31,"",0.29
289,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2015-08-19T00:00:00,"","","",Grab,Sampler 6,09:33:00,18,6.1,7.4,38300,2,24.2,2 EST,45,1 EST,2.1,1,<3,2,4,0.026,0.032,0.036,0.35,0.06,0.31
290,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2015-08-19T00:00:00,"","","",Grab,Sampler 6,09:39:00,18,6.2,7.6,41300,"",26.3,"","","","","",<3,"",3,0.025,0.029,"",0.32,"",0.29
291,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2015-08-19T00:00:00,"","","",Grab,Sampler 6,09:52:00,18.2,5.6,7.4,36400,1.8,22.9,5 EST,24,3 EST,3.2,1.1,<3,15,3,0.027,0.034,0.036,0.35,0.06,0.32
292,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2015-08-19T00:00:00,"","","",Grab,Sampler 6,09:57:00,18.1,5.6,7.6,41600,"",26.5,"","","","","",<3,"",3,0.033,0.029,"",0.31,"",0.28
293,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2015-08-19T00:00:00,"","","",Grab,Sampler 6,10:12:00,18.2,6.2,7.4,36400,1.8,22.9,8 EST,39,1 EST,1.1,1,<3,3,4,0.029,0.036,0.044,0.35,0.06,0.31
294,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2015-08-19T00:00:00,"","","",Grab,Sampler 6,10:18:00,18.2,5.7,7.5,41300,"",26.3,"","","","","",<3,"",3,0.033,0.031,"",0.33,"",0.3
295,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2015-08-19T00:00:00,"","","",Grab,Sampler 6,10:26:00,18.4,6,7.3,34400,2,21.5,5 EST,23,2 EST,4.3,1.1,<3,3,3,0.03,0.035,0.042,0.36,0.06,0.32
296,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2015-08-19T00:00:00,"","","",Grab,Sampler 6,10:32:00,18.2,5.8,7.5,37800,"",23.9,"","","","","",<3,"",3,0.036,0.033,"",0.32,"",0.29
297,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2015-08-19T00:00:00,"","","",Grab,Sampler 6,10:48:00,18.3,6,7.3,32700,2,20.3,6 EST,24,4 EST,1.1,1,<3,2,4,0.03,0.039,0.028,0.33,0.04,0.29
298,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2015-08-19T00:00:00,"","","",Grab,Sampler 6,10:53:00,18.2,5.5,7.4,35000,"",21.9,"","","","","",<3,"",4,0.032,0.037,"",0.33,"",0.29
299,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2015-08-19T00:00:00,"","","",Grab,Sampler 6,11:02:00,18.2,6.1,7.2,30500,2,18.9,14,29,4 EST,3.2,1,<3,2,4,0.027,0.041,0.025,0.34,0.04,0.3
300,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2015-08-19T00:00:00,"","","",Grab,Sampler 6,11:08:00,18.2,5.4,7.3,33100,"",20.6,"","","","","",<3,"",4,0.031,0.038,"",0.32,"",0.28
301,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2015-08-19T00:00:00,"","","",Grab,Sampler 6,12:55:00,22.9,9.1,7.3,878,"",0.4,<1,<1,<1,1.1,1,<3,2,9,0.037,0.019,0.43,0.94,0.51,0.92
302,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2015-09-24T00:00:00,"","","",Grab,Sampler 6,07:25:00,20.8,8.4,7.7,41000,2.1,26.2,23,37,4 EST,2.1,1,<3,2,3,<0.005,<0.005,0.029,0.26,0.05,0.26
303,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2015-09-24T00:00:00,"","","",Grab,Sampler 6,07:33:00,20.8,9.3,7.7,41100,"",26.3,"","","","","",<3,"",3,<0.005,<0.005,"",0.26,"",0.26
304,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2015-09-24T00:00:00,"","","",Grab,Sampler 6,07:55:00,20,6.6,7.7,38900,2.1,24.7,18,26,6 EST,1.1,1,<3,3,3,<0.005,<0.005,0.036,0.3,0.06,0.3
305,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2015-09-24T00:00:00,"","","",Grab,Sampler 6,08:00:00,21.4,6.2,7.7,41500,"",26.5,"","","","","",<3,"",3,<0.005,<0.005,"",0.3,"",0.3
306,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2015-09-24T00:00:00,"","","",Grab,Sampler 6,08:15:00,20.7,8.4,7.6,35900,2.1,22.6,29,36,5 EST,1.1,1,<3,5,3,<0.005,<0.005,0.062,0.34,0.09,0.34
307,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2015-09-24T00:00:00,"","","",Grab,Sampler 6,08:20:00,21.6,9.1,7.7,39400,"",25.1,"","","","","",<3,"",3,<0.005,<0.005,"",0.31,"",0.31
308,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2015-09-24T00:00:00,"","","",Grab,Sampler 6,08:35:00,21.2,7.7,7.5,28500,2,17.6,14,45,10,2.1,1,<3,2,3,<0.005,0.009,0.073,0.33,0.09,0.32
309,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2015-09-24T00:00:00,"","","",Grab,Sampler 6,08:40:00,21.7,7.3,7.6,37200,"",23.5,"","","","","",<3,"",3,<0.005,<0.005,"",0.34,"",0.34
310,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2015-09-24T00:00:00,"","","",Grab,Sampler 6,08:55:00,21.3,6.1,7.5,35100,1.9,22.1,8 EST,23,7 EST,3.2,1,<3,3,3,<0.005,<0.005,0.042,0.35,0.07,0.35
311,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2015-09-24T00:00:00,"","","",Grab,Sampler 6,09:00:00,21.7,5.9,7.6,36900,"",23.3,"","","","","",<3,"",3,0.005,<0.005,"",0.33,"",0.33
312,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2015-09-24T00:00:00,"","","",Grab,Sampler 6,09:10:00,21.3,5.6,7.4,31500,2.3,19.5,14,29,3 EST,3.2,1.1,<3,17,3,0.007,0.006,0.033,0.31,0.06,0.31
313,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2015-09-24T00:00:00,"","","",Grab,Sampler 6,09:20:00,21.9,5.2,7.5,36600,"",23.1,"","","","","",<3,"",3,0.006,<0.005,"",0.31,"",0.31
314,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2015-09-24T00:00:00,"","","",Grab,Sampler 6,09:35:00,21.5,8.2,7.4,29100,3.2,17.9,23,41,8 EST,4.3,1.1,<3,6,3,0.007,0.009,0.025,0.32,0.05,0.31
315,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2015-09-24T00:00:00,"","","",Grab,Sampler 6,09:40:00,21.6,9.2,7.4,29400,"",18.1,"","","","","",<3,"",4,0.007,0.008,"",0.32,"",0.31
316,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2015-09-24T00:00:00,"","","",Grab,Sampler 6,10:00:00,21.5,8.6,7.3,22600,2,13.6,26,51,19,3.2,1,<3,2,4,0.013,0.013,0.017,0.33,0.03,0.31
317,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2015-09-24T00:00:00,"","","",Grab,Sampler 6,10:10:00,21.8,9.2,7.4,31400,"",19.5,"","","","","",<3,"",4,<0.005,<0.005,"",0.36,"",0.36
318,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2015-09-24T00:00:00,"","","",Grab,Sampler 6,12:10:00,24.2,8.9,7.5,887,"",0.4,<1,2 EST,1 EST,1.1,1,<3,3,8,0.034,0.033,0.84,0.97,0.92,0.93
319,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2015-12-17T00:00:00,"","","",Grab,Sampler 7,07:50:00,26.8,7.6,7.5,42700,1.1,27.5,6 EST,33,4 EST,2.1,1,<3,8,4,<0.005,<0.005,0.082,0.41,0.13,0.41
320,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2015-12-17T00:00:00,"","","",Grab,Sampler 7,08:00:00,26.6,8.1,7.6,45100,"",29.1,"","","","","",<3,"",3,<0.005,<0.005,"",0.38,"",0.38
321,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2015-12-17T00:00:00,"","","",Grab,Sampler 7,08:20:00,27.1,4.5,7.5,42800,1.1,27.5,11,29,9 EST,3.2,1,<3,9,4,<0.005,0.01,0.088,0.4,0.13,0.39
322,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2015-12-17T00:00:00,"","","",Grab,Sampler 7,08:30:00,27.1,4.1,7.5,44800,"",28.9,"","","","","",<3,"",3,0.01,0.009,"",0.41,"",0.4
323,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2015-12-17T00:00:00,"","","",Grab,Sampler 7,08:40:00,27.2,5.3,7.4,39200,1.2,25,11,28,4 EST,4.3,1.1,<3,8,4,<0.005,0.014,0.089,0.42,0.14,0.41
324,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2015-12-17T00:00:00,"","","",Grab,Sampler 7,08:50:00,27.1,4,7.5,44600,"",28.9,"","","","","",<3,"",3,0.021,0.016,"",0.4,"",0.39
325,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2015-12-17T00:00:00,"","","",Grab,Sampler 7,08:55:00,27.3,7.6,7.4,33800,1.1,21.2,20,42,5 EST,5.3,1,<3,6,3,0.005,0.019,0.092,0.43,0.14,0.41
326,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2015-12-17T00:00:00,"","","",Grab,Sampler 7,09:05:00,27.2,8.2,7.4,42500,"",27.3,"","","","","",<3,"",4,0.036,0.021,"",0.42,"",0.4
327,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2015-12-17T00:00:00,"","","",Grab,Sampler 7,09:15:00,27.6,6.3,7.4,36000,1.1,22.7,9 EST,27,5 EST,7.5,1.1,<3,9,4,<0.005,0.017,0.085,0.45,0.14,0.43
328,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2015-12-17T00:00:00,"","","",Grab,Sampler 7,09:20:00,27.3,4.9,7.4,43000,"",27.7,"","","","","",<3,"",4,0.05,0.02,"",0.4,"",0.38
329,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2015-12-17T00:00:00,"","","",Grab,Sampler 7,09:40:00,27.6,7.4,7.4,36700,1,23.2,11,55,2 EST,8.5,1.1,<3,9,4,<0.005,0.015,0.078,0.48,0.14,0.46
330,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2015-12-17T00:00:00,"","","",Grab,Sampler 7,09:45:00,27.4,8.3,7.3,39400,"",25.1,"","","","","",<3,"",4,0.027,0.023,"",0.39,"",0.37
331,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2015-12-17T00:00:00,"","","",Grab,Sampler 7,10:00:00,27.6,7.6,7.3,34600,1.1,21.8,14,41,2 EST,13,1.2,<3,5,4,0.014,0.018,0.059,0.42,0.1,0.4
332,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2015-12-17T00:00:00,"","","",Grab,Sampler 7,10:05:00,27.5,6.9,7.3,36100,"",22.7,"","","","","",<3,"",4,0.026,0.022,"",0.4,"",0.38
333,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2015-12-17T00:00:00,"","","",Grab,Sampler 7,10:20:00,27.6,7.7,7.3,31200,1.1,19.4,24,48,2 EST,5.3,1.1,<3,4,4,<0.005,0.008,0.038,0.4,0.08,0.4
334,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2015-12-17T00:00:00,"","","",Grab,Sampler 7,10:25:00,27.5,8.6,7.3,33900,"",21.3,"","","","","",<3,"",4,0.015,0.016,"",0.41,"",0.4
335,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2015-12-17T00:00:00,"","","",Grab,Sampler 7,11:30:00,28.9,8.3,7.4,908,"",0.4,4 EST,15,2 EST,1.1,1,<3,<2,7,0.062,0.02,0.75,0.93,0.85,0.91
336,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,08:15:00,27.8,5.6,7.7,42200,0.7,27.1,2 EST,9 EST,4 EST,11,1.1,<3,5,4,0.005,<0.005,0.058,0.41,0.12,0.41
337,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,08:27:00,27.8,5.6,7.7,42500,"",27.3,"","","","","",<3,"",4,0.005,<0.005,"",0.42,"",0.42
338,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,08:46:00,28,6.2,7.7,41800,0.7,26.8,2 EST,3 EST,2 EST,12,1.1,3,6,4,0.006,<0.005,0.062,0.39,0.12,0.39
339,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,08:51:00,27.8,6.1,7.7,42400,"",27.3,"","","","","",3,"",4,0.005,<0.005,"",0.45,"",0.45
340,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,09:14:00,28.2,6.5,7.7,39000,0.6,24.8,6 EST,15,1 EST,13,1.1,<3,8,5,0.005,<0.005,0.08,0.44,0.14,0.44
341,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,09:25:00,27.9,5.6,7.7,41700,"",26.7,"","","","","",<3,"",4,0.006,<0.005,"",0.43,"",0.43
342,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,09:45:00,28.6,6.2,7.7,38200,0.6,24.2,8 EST,21,<1,12,1.1,<3,7,4,0.007,<0.005,0.089,0.44,0.16,0.44
343,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,09:50:00,28.3,6.1,7.7,39200,"",25,"","","","","",<3,"",5,0.006,<0.005,"",0.46,"",0.46
344,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,10:05:00,28.8,6.5,7.7,37900,0.7,24,2 EST,25,1 EST,16,1.2,<3,8,5,0.006,<0.005,0.11,0.46,0.18,0.46
345,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,10:10:00,28.1,5.4,7.7,40900,"",26.1,"","","","","",<3,"",5,0.006,<0.005,"",0.45,"",0.45
346,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,10:24:00,28.5,6.3,7.7,38700,0.8,24.6,8 EST,41,4 EST,15,1.1,<3,7,5,0.006,<0.005,0.094,0.49,0.17,0.49
347,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,10:28:00,28.5,5.8,7.7,39200,"",24.9,"","","","","",<3,"",5,0.006,<0.005,"",0.47,"",0.47
348,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,10:43:00,28.7,5.4,7.6,37400,0.8,23.7,14,39,8 EST,16,1.2,<3,6,5,0.005,<0.005,0.11,0.47,0.18,0.47
349,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,10:50:00,28.7,5.7,7.6,37600,"",23.8,"","","","","",<3,"",5,0.008,<0.005,"",0.45,"",0.45
350,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,11:10:00,29,5.3,7.5,32200,0.8,20,15,40,5 EST,21,1.2,<3,4,4,0.008,<0.005,0.098,0.48,0.17,0.48
351,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2016-02-25T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,11:16:00,28.7,5.3,7.5,35200,"",22.1,"","","","","",<3,"",5,0.007,<0.005,"",0.49,"",0.49
352,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2016-02-25T00:00:00,"",STP,Sewage,Grab,Sampler 2,12:24:00,30.7,8.1,7.4,807,"",0.4,<1,5 EST,<1,<1,1,<3,3,7,0.046,0.05,1.13,0.76,1.52,0.71
